aevo_bid,aevo_ask,hl_bid,hl_ask
0.4289,0.43,0.43034,0.43072
0.4289,0.4301,0.43034,0.43072
0.4253,0.4303,0.43034,0.43072
0.4253,0.4303,0.43034,0.43072
0.4271,0.4303,0.43034,0.43072
0.4293,0.4303,0.43034,0.43072
0.4293,0.4305,0.43034,0.43072
0.4293,0.4304,0.43034,0.43072
0.4293,0.4304,0.43034,0.43072
0.4293,0.4304,0.43034,0.43072
0.4293,0.4304,0.43034,0.43072
0.4293,0.4313,0.43034,0.43072
0.4293,0.431,0.43034,0.43072
0.4294,0.431,0.43034,0.43072
0.4294,0.4306,0.43034,0.43072
0.4294,0.4305,0.43034,0.43072
0.4294,0.4315,0.43034,0.43072
0.4294,0.4308,0.43034,0.43072
0.4294,0.4306,0.43034,0.43072
0.4294,0.4305,0.43034,0.43072
0.4294,0.4305,0.43059,0.43072
0.4294,0.4305,0.43059,0.43084
0.4294,0.4306,0.43059,0.43084
0.4294,0.4306,0.43059,0.43084
0.4294,0.4306,0.43059,0.43084
0.4294,0.4306,0.43059,0.43084
0.4294,0.4306,0.43059,0.43084
0.4294,0.4306,0.43059,0.43084
0.4294,0.4306,0.43059,0.43084
0.4294,0.4306,0.43059,0.43084
0.4294,0.4306,0.43059,0.43084
0.4294,0.4306,0.43074,0.43084
0.4295,0.4306,0.43074,0.43084
0.4295,0.4306,0.43074,0.43094
0.4295,0.4306,0.4305,0.43094
0.4295,0.4306,0.43084,0.43094
0.4295,0.4306,0.43084,0.43094
0.4295,0.4306,0.43084,0.43094
0.4295,0.4306,0.43084,0.43094
0.4295,0.4306,0.43084,0.43085
0.4295,0.4306,0.43084,0.43085
0.4295,0.4306,0.43084,0.43094
0.4295,0.4306,0.43084,0.43094
0.4295,0.4306,0.43084,0.43094
0.4295,0.4305,0.43084,0.43094
0.4295,0.4305,0.43084,0.43094
0.4295,0.4305,0.43084,0.43085
0.4295,0.4304,0.43084,0.43085
0.4295,0.4304,0.43084,0.43085
0.4294,0.4304,0.43084,0.43085
0.4294,0.4304,0.4305,0.43085
0.4293,0.4304,0.4305,0.43085
0.4293,0.4304,0.43075,0.43076
0.4293,0.4303,0.43075,0.43076
0.4293,0.4303,0.43075,0.43076
0.4293,0.4303,0.43075,0.43076
0.4293,0.4303,0.43075,0.43076
0.4293,0.4303,0.43075,0.43076
0.4293,0.4303,0.43075,0.43121
0.4293,0.4303,0.43075,0.43121
0.4293,0.4304,0.43075,0.43121
0.4293,0.4304,0.43075,0.43121
0.4293,0.4303,0.43075,0.43121
0.4293,0.4303,0.43075,0.43121
0.4293,0.4303,0.43075,0.43121
0.4293,0.4303,0.4306,0.43076
0.4293,0.4302,0.4306,0.43076
0.4293,0.4306,0.4306,0.43076
0.4244,0.4303,0.4306,0.43076
0.4244,0.4303,0.4306,0.43065
0.4253,0.4303,0.4306,0.43065
0.4289,0.4303,0.4306,0.43065
0.4289,0.4303,0.4306,0.43065
0.4258,0.4306,0.4306,0.43065
0.4293,0.4306,0.4306,0.43065
0.4293,0.4306,0.4306,0.43065
0.4293,0.4304,0.4306,0.43065
0.4293,0.4303,0.4306,0.43065
0.4293,0.4303,0.4306,0.43065
0.4293,0.4304,0.4306,0.43065
0.4293,0.4305,0.4306,0.43065
0.4293,0.4304,0.4306,0.43065
0.4293,0.4304,0.4306,0.43074
0.4293,0.4305,0.4306,0.43074
0.4293,0.4305,0.4306,0.43074
0.4253,0.4305,0.4306,0.43074
0.429,0.4305,0.4306,0.43074
0.429,0.4305,0.43,0.43074
0.4293,0.4305,0.43,0.43074
0.4293,0.4305,0.43,0.43074
0.4293,0.4305,0.43065,0.43067
0.4293,0.4306,0.43065,0.43067
0.4293,0.4306,0.43065,0.43067
0.4293,0.4306,0.43065,0.43067
0.4297,0.431,0.43065,0.43067
0.4292,0.431,0.43065,0.43067
0.4292,0.4308,0.43065,0.43067
0.4292,0.4315,0.43065,0.43067
0.4292,0.4315,0.43075,0.43132
0.4299,0.4315,0.43075,0.43132
0.4292,0.432,0.43075,0.43132
0.4292,0.4314,0.43075,0.43132
0.4292,0.4311,0.43075,0.43132
0.4295,0.4311,0.43075,0.43132
0.4299,0.4311,0.43075,0.43132
0.4299,0.4311,0.43125,0.43132
0.43,0.4311,0.43125,0.43132
0.43,0.4311,0.43125,0.43133
0.43,0.4311,0.43125,0.43145
0.43,0.4313,0.43125,0.43145
0.43,0.4313,0.43125,0.43145
0.43,0.4313,0.43125,0.43145
0.43,0.4312,0.43125,0.43145
0.43,0.4312,0.43125,0.43145
0.4295,0.4313,0.43125,0.43145
0.4299,0.4313,0.43125,0.43145
0.4299,0.4311,0.43125,0.43145
0.4299,0.4311,0.43125,0.43136
0.4299,0.4311,0.43125,0.43136
0.4292,0.4312,0.43125,0.43136
0.4298,0.4312,0.43125,0.43136
0.4298,0.4309,0.43125,0.43136
0.4298,0.4309,0.43125,0.43127
0.4295,0.431,0.43125,0.43127
0.4299,0.431,0.43125,0.43127
0.4299,0.431,0.43125,0.43127
0.4299,0.431,0.43125,0.43127
0.4299,0.431,0.43125,0.43127
0.4299,0.431,0.43125,0.43127
0.4299,0.4309,0.43125,0.43127
0.4299,0.4309,0.43125,0.43127
0.4299,0.4309,0.43125,0.43127
0.4299,0.4309,0.43125,0.43127
0.4296,0.431,0.43125,0.43127
0.43,0.4313,0.43125,0.43127
0.43,0.4311,0.43125,0.43127
0.4297,0.4313,0.43125,0.43127
0.4301,0.4313,0.43125,0.43127
0.4301,0.4312,0.43125,0.43127
0.43,0.4312,0.43125,0.43127
0.43,0.4312,0.43125,0.43127
0.43,0.4312,0.43125,0.43136
0.4297,0.4315,0.43125,0.43136
0.43,0.4315,0.43125,0.43136
0.43,0.4311,0.43125,0.43136
0.4301,0.4311,0.43125,0.43136
0.4301,0.4311,0.43125,0.43136
0.43,0.4311,0.43125,0.43136
0.43,0.4311,0.4307,0.43136
